LOLW 48.167 14.033
LOXS 47.333 11.7
LOXA 47.533 14.133
LOLF 48.515 14.409
LOXL 48.233 14.183
LOXZ 47.2 14.75
LOXT 48.317 16.117
LOWI 47.267 11.35
LOWS 47.8 13
LOWK 46.65 14.333
LOAV 47.964 16.259
LOAN 47.843 16.258
LOIH 47.385 9.701
LOWZ 47.292 12.788
LOWL 48.233 14.183
LOWW 48.117 16.567
LOWG 47 15.433
UBBB 40.45 50.067
MYGW 26.7 -78.967
MYSM 24.05 -74.533
MYIG 20.95 -73.683
MYBS 25.733 -79.3
MYGF 26.55 -78.7
MYEG 23.475 -75.767
MYNN 25.05 -77.467
OBBI 26.267 50.65
VGIS 24.133 89.05
VGZR 23.85 90.4
VGSY 24.9 91.883
VGCB 21.433 91.967
VGTJ 23.767 90.383
VGEG 22.267 91.817
VGJR 23.183 89.167
VGRJ 24.367 88.7
TBPO 13.1 -59.617
TBPB 13.067 -59.483
UMII 55.167 30.217
UMMS 53.933 27.633
UMGG 52.527 31.018
UMBB 52.108 23.897
EVRA 56.917 23.967
UMMM 53.865 27.542
EBZW 50.933 5.5
EBTN 50.783 4.95
EBAW 51.2 4.467
EBLG 50.65 5.45
EBCI 50.467 4.45
EBBR 50.9 4.533
EBFS 50.233 4.65
EBBT 51.333 4.5
EBMT 50.933 3.733
EBCV 50.567 3.833
EBGT 51.183 3.817
EBWE 51.417 5
EBBE 50.75 4.767
EBST 50.8 5.2
EBLB 50.467 6.183
EBFN 51.083 2.65
EBBL 51.167 5.467
EBDT 51 5.067
EBMB 50.9 4.5
EBBX 49.9 5.217
EBSP 50.483 5.917
EBOS 51.2 2.867
EBSU 50.033 5.4
MZBZ 17.533 -88.3
DBBN 10.317 1.383
DBBB 6.35 2.383
DBBP 9.35 2.617
DBBK 11.133 2.933
DBBC 7.167 2.067
DBBS 8.033 2.467
TXKF 32.367 -64.683
SLET -17.8 -63.183
SLRY -14.317 -67.383
SLJO -13.067 -64.817
SLPS -18.983 -57.817
SLGY -10.817 -65.35
SLLP -16.517 -68.183
SLMG -13.333 -64.117
SLCN -17.583 -69.6
SLAP -14.733 -68.5
SLAS -15.717 -63.1
SLSB -14.867 -66.867
SLTR -14.817 -64.917
SLSI -16.383 -60.967
SLTJ -21.55 -64.7
SLJE -17.8 -60.733
SLCO -11.033 -68.783
SLVM -21.25 -63.45
SLSU -19.017 -65.3
SLCA -20 -63.533
SLVR -17.633 -63.133
SLCP -16.15 -62.017
SLSA -13.767 -65.433
SLOR -17.967 -67.067
SLRI -11 -66.117
SLCB -17.417 -66.183
SLSM -14.917 -65.6
SLPO -19.55 -65.733
SLJV -16.267 -62.467
SLRQ -14.467 -67.567
SLRB -18.317 -59.767
SLYA -21.95 -63.65
LQLV 43.833 17.017
FBKE -17.817 25.15
FBLT -21.417 25.6
FBTE -24.017 21.883
FBSP -22.055 27.82
FBGZ -21.7 21.65
FBMN -19.983 23.417
FBSK -24.217 25.917
FBSW -18.367 21.85
FBJW -24.6 24.667
FBSN -20.467 25.983
FBTS -26.05 22.45
FBFT -21.217 27.5
SBNT -5.917 -35.25
SBME -22.35 -41.767
SWBC -0.983 -62.583
SBMO -9.517 -35.783
SBBI -25.433 -49.267
SBRS -22.483 -44.467
SBSJ -23.233 -45.867
SBMN -3.15 -59.983
SBTU -3.717 -49.717
SBBV 2.833 -60.7
SBBU -22.317 -49.067
SBPC -21.85 -46.567
SBJF -21.767 -43.35
SBBE -1.383 -48.483
SBFN -3.85 -32.417
SBMG -23.417 -51.95
SBMQ 0.033 -50.05
SBPG -25.517 -48.517
SBBW -15.867 -52.383
SBCG -20.467 -54.667
SBUF -9.4 -38.217
SBTT -3.667 -69.667
SBKG -7.217 -35.883
SBLP -13.267 -43.417
SBGW -22.783 -45.2
SBYA 0.617 -69.2
SBUA -0.133 -67.083
SBFZ -3.783 -38.533
SBBG -31.35 -54.117
SBCO -30.017 -51.217
SBTK -8.167 -70.767
SBCC -9.333 -54.95
SBRB -10 -67.8
SBFI -25.517 -54.583
SBES -22.817 -42.1
SBIH -4.25 -56
SBCP -21.75 -41.333
SBCV -17.633 -39.25
SBBH -19.85 -43.95
SBPK -31.867 -52.35
SBRP -21.133 -47.783
SBCF -19.933 -43.933
SBBC -4.383 -70.033
SBEK -6.267 -57.733
SBAT -9.867 -56.1
SBUL -18.883 -48.233
SBQV -14.95 -40.883
SBAR -10.983 -37.067
SBGL -22.817 -43.25
SBCR -19.083 -57.5
SBRF -8.067 -34.85
SBGO -16.633 -49.217
SBAF -22.867 -43.367
SBJR -22.983 -43.367
SBSN -2.433 -54.717
SBLO -23.333 -51.133
SBUR -19.783 -47.967
SBPV -8.767 -63.917
SBPL -9.35 -40.55
SBIZ -5.533 -47.5
SBMS -5.2 -37.367
SBYS -21.983 -47.333
SBSC -22.933 -43.717
SBPA -30 -51.183
SBTF -3.367 -64.683
SBAN -16.233 -48.967
SBCY -15.65 -56.1
SBHT -3.2 -52.2
SBBQ -21.25 -43.767
SBMA -5.35 -49.15
SBBR -15.867 -47.933
SBVH -12.7 -60.1
SBUG -29.783 -57.033
SBMY -5.817 -61.3
SBAA -8.25 -49.283
SBCJ -6.117 -50
SBSA -22.017 -47.883
SBOI 3.833 -51.833
SBST -23.933 -46.3
SBVT -20.267 -40.283
SBSL -2.6 -44.233
SBCI -7.317 -47.467
SBRJ -22.9 -43.167
SBCT -25.517 -49.167
SBSM -29.717 -53.7
SBPF -28.25 -52.4
SBSP -23.617 -46.65
SBJP -7.1 -34.867
SBFL -27.667 -48.55
SBCZ -7.633 -72.667
SBTE -5.05 -42.817
SBEG -3.033 -60.05
SBGR -23.433 -46.467
SBKP -23 -47.133
SBDN -22.117 -51.383
SBGA -16.05 -48.05
SBXV -14.7 -52.35
SBMK -16.717 -43.867
SBMT -23.517 -46.633
SBPB -2.917 -41.75
SBPP -22.55 -55.7
SBSV -12.9 -38.333
SBPN -10.7 -48.4
SBIL -14.817 -39.033
FJDG -7.3 72.4
WBSB 4.933 114.933
LBBG 42.483 27.483
LBSF 42.65 23.383
LBGO 43.15 25.6
LBPD 42.133 24.75
LBWN 43.2 27.917
LBRS 43.85 25.95
DFEF 12.033 0.367
DFEE 14.033 -0.033
DFFD 12.35 -1.517
DFCO 11.75 -2.933
DFOO 11.167 -4.317
DFCP 11.15 -1.15
DFCC 13.567 -2.417
DFOD 12.467 -3.483
DFOG 10.333 -3.183
HBBA -3.317 29.317
VDSR 13.367 103.85
VDPP 11.55 104.85
VDKC 12 105.45
FKKN 7.35 13.567
FKAF 4.733 11.25
FKKB 2.95 9.9
FKAM 6.533 14.367
FKKR 9.333 13.383
FKKD 4 9.733
FKKV 6.05 10.117
FKAN 4.95 9.933
FKKC 4.083 9.367
FKKI 4.467 14.367
FKAL 3.15 13.617
FKKA 10.45 14.25
FKKM 5.65 10.75
FKKF 5.717 9.283
FKAY 5.55 12.367
FKKY 3.833 11.533
FKAG 3.967 13.2
FKYS 3.833 11.517
FKAB 6.783 11.817
FKAO 5.6 14.067
CZNB 46.367 -79.417
CYQD 53.967 -101.1
CWJN 69.567 -138.917
CYEV 68.3 -133.483
CYGE 51.3 -116.983
CWTN 47.067 -70.8
CYNE 53.967 -97.833
CWNJ 54.567 -130.7
CWJU 54.25 -133.05
CXBO 46.833 -71.2
CYCY 70.483 -68.517
CWJT 46.067 -74.533
CYRT 62.817 -92.117
CWWU 56.8 -124.9
CWTY 46.35 -72.517
CYED 53.667 -113.467
CYDC 49.467 -120.517
CWIL 68.317 -100.083
CWNL 45.633 -82.967
CWPS 42.567 -80.05
CYZH 55.3 -114.783
CWDB 61.367 -139.05
CXXX 58.383 -109.5
CWEE 49.283 -73.35
CWNC 43.95 -78.167
CWZD 52.45 -131.233
CWYG 46.233 -63.133
CWAN 48.917 -125.55
CWLV 53.917 -106.067
CWEG 53.5 -113.5
CYUK 68.75 -109.067
CWHH 53.033 -100.933
CWPH 58.45 -78.117
CYCX 45.833 -66.433
CWBM 55.2 -119.4
CWER 47 -70.817
CWPK 47.917 -74.617
CYUA 68.95 -137.217
CYUS 68.817 -93.433
CWKG 44.433 -65.2
CXPV 58.622 -111.672
CWNT 49.583 -114.417
CYTE 64.217 -76.533
CWMT 63.15 -117.267
CYPX 60.05 -77.283
CWEQ 52.117 -101.233
CYKZ 43.867 -79.367
CWWS 52.8 -97.617
